Year,Week,Need State,Amount
2021,1,Need State 1,317435.25
2021,2,Need State 1,309234.75
2021,3,Need State 1,331149.0
2021,4,Need State 1,291885.0
2021,5,Need State 1,308238.0
2021,6,Need State 1,267614.25
2021,7,Need State 1,277594.5
2021,8,Need State 1,288708.0
2021,9,Need State 1,305426.25
2021,10,Need State 1,366468.75
2021,11,Need State 1,411339.0
2021,12,Need State 1,474183.0
2021,13,Need State 1,600133.5
2021,14,Need State 1,563619.75
2021,15,Need State 1,744040.5
2021,16,Need State 1,591930.75
2021,17,Need State 1,812364.0
2021,18,Need State 1,669479.25
2021,19,Need State 1,764657.25
2021,20,Need State 1,1016664.75
2021,21,Need State 1,949762.5
2021,22,Need State 1,875752.5
2021,23,Need State 1,885507.75
2021,24,Need State 1,722193.75
2021,25,Need State 1,818238.75
2021,26,Need State 1,693630.75
2021,27,Need State 1,605286.75
2021,28,Need State 1,593844.0
2021,29,Need State 1,559867.5
2021,30,Need State 1,595377.75
2021,31,Need State 1,547923.0
2021,32,Need State 1,551245.5
2021,33,Need State 1,695661.75
2021,34,Need State 1,687503.25
2021,35,Need State 1,740111.25
2021,36,Need State 1,656641.5
2021,37,Need State 1,478269.75
2021,38,Need State 1,487155.75
2021,39,Need State 1,428911.5
2021,40,Need State 1,448910.25
2021,41,Need State 1,378968.25
2021,42,Need State 1,384597.75
2021,43,Need State 1,381980.25
2021,44,Need State 1,330258.0
2021,45,Need State 1,335463.75
2021,46,Need State 1,299685.0
2021,47,Need State 1,288753.75
2021,48,Need State 1,328204.5
2021,49,Need State 1,323834.25
2021,50,Need State 1,309387.0
2021,51,Need State 1,373874.25
2021,52,Need State 1,352412.25
2021,1,Need State 2,410931.0
2021,2,Need State 2,447469.5
2021,3,Need State 2,471435.0
2021,4,Need State 2,427167.0
2021,5,Need State 2,529465.5
2021,6,Need State 2,417973.5
2021,7,Need State 2,470085.0
2021,8,Need State 2,469544.25
2021,9,Need State 2,441350.25
2021,10,Need State 2,413960.25
2021,11,Need State 2,472459.5
2021,12,Need State 2,390435.0
2021,13,Need State 2,395699.25
2021,14,Need State 2,356919.0
2021,15,Need State 2,445212.75
2021,16,Need State 2,422745.0
2021,17,Need State 2,454966.5
2021,18,Need State 2,400087.5
2021,19,Need State 2,432171.0
2021,20,Need State 2,393274.5
2021,21,Need State 2,408126.0
2021,22,Need State 2,381229.5
2021,23,Need State 2,434532.0
2021,24,Need State 2,390393.0
2021,25,Need State 2,369716.25
2021,26,Need State 2,334209.0
2021,27,Need State 2,343597.5
2021,28,Need State 2,314562.75
2021,29,Need State 2,382468.5
2021,30,Need State 2,307947.0
2021,31,Need State 2,416457.75
2021,32,Need State 2,314933.25
2021,33,Need State 2,384623.25
2021,34,Need State 2,313235.25
2021,35,Need State 2,383862.75
2021,36,Need State 2,318623.25
2021,37,Need State 2,369570.75
2021,38,Need State 2,285762.0
2021,39,Need State 2,400496.25
2021,40,Need State 2,300524.25
2021,41,Need State 2,331294.5
2021,42,Need State 2,334574.25
2021,43,Need State 2,420952.5
2021,44,Need State 2,343806.0
2021,45,Need State 2,414551.25
2021,46,Need State 2,364275.0
2021,47,Need State 2,527122.5
2021,48,Need State 2,464865.0
2021,49,Need State 2,405858.0
2021,50,Need State 2,598563.0
2021,51,Need State 2,600968.25
2021,52,Need State 2,407785.5
2021,1,Need State 3,355992.75
2021,2,Need State 3,432966.0
2021,3,Need State 3,325530.0
2021,4,Need State 3,409405.5
2021,5,Need State 3,313095.75
2021,6,Need State 3,402543.75
2021,7,Need State 3,288683.25
2021,8,Need State 3,522767.25
2021,9,Need State 3,327960.0
2021,10,Need State 3,429768.0
2021,11,Need State 3,333696.0
2021,12,Need State 3,425903.25
2021,13,Need State 3,313379.25
2021,14,Need State 3,467704.5
2021,15,Need State 3,350557.5
2021,16,Need State 3,410649.0
2021,17,Need State 3,338541.0
2021,18,Need State 3,502823.25
2021,19,Need State 3,314199.0
2021,20,Need State 3,440163.0
2021,21,Need State 3,329523.0
2021,22,Need State 3,462633.0
2021,23,Need State 3,317057.25
2021,24,Need State 3,486275.25
2021,25,Need State 3,301119.0
2021,26,Need State 3,487630.5
2021,27,Need State 3,337101.0
2021,28,Need State 3,444928.5
2021,29,Need State 3,313857.75
2021,30,Need State 3,500107.5
2021,31,Need State 3,313391.25
2021,32,Need State 3,389408.25
2021,33,Need State 3,340911.75
2021,34,Need State 3,461373.0
2021,35,Need State 3,319853.25
2021,36,Need State 3,472932.0
2021,37,Need State 3,293533.5
2021,38,Need State 3,402376.5
2021,39,Need State 3,306233.25
2021,40,Need State 3,386547.0
2021,41,Need State 3,326609.25
2021,42,Need State 3,383744.25
2021,43,Need State 3,255436.5
2021,44,Need State 3,358208.25
2021,45,Need State 3,266328.75
2021,46,Need State 3,333616.5
2021,47,Need State 3,287940.0
2021,48,Need State 3,407856.0
2021,49,Need State 3,246740.25
2021,50,Need State 3,364957.5
2021,51,Need State 3,383296.5
2021,52,Need State 3,249810.75
2021,1,Need State 4,451255.5
2021,2,Need State 4,472152.75
2021,3,Need State 4,465115.5
2021,4,Need State 4,401831.25
2021,5,Need State 4,501825.75
2021,6,Need State 4,423258.0
2021,7,Need State 4,420210.75
2021,8,Need State 4,457369.5
2021,9,Need State 4,441514.5
2021,10,Need State 4,361330.5
2021,11,Need State 4,431964.0
2021,12,Need State 4,362648.25
2021,13,Need State 4,473433.75
2021,14,Need State 4,434118.0
2021,15,Need State 4,470531.25
2021,16,Need State 4,602490.0
2021,17,Need State 4,451764.75
2021,18,Need State 4,399734.25
2021,19,Need State 4,428429.25
2021,20,Need State 4,382415.25
2021,21,Need State 4,413962.5
2021,22,Need State 4,381732.75
2021,23,Need State 4,424536.75
2021,24,Need State 4,403641.0
2021,25,Need State 4,373848.75
2021,26,Need State 4,384365.25
2021,27,Need State 4,383634.0
2021,28,Need State 4,407671.5
2021,29,Need State 4,412947.0
2021,30,Need State 4,379473.75
2021,31,Need State 4,416781.0
2021,32,Need State 4,397534.5
2021,33,Need State 4,373126.5
2021,34,Need State 4,438381.0
2021,35,Need State 4,492462.0
2021,36,Need State 4,397526.25
2021,37,Need State 4,499152.0
2021,38,Need State 4,420957.0
2021,39,Need State 4,482850.75
2021,40,Need State 4,417054.0
2021,41,Need State 4,403581.75
2021,42,Need State 4,433433.25
2021,43,Need State 4,470436.0
2021,44,Need State 4,393473.25
2021,45,Need State 4,464336.25
2021,46,Need State 4,445491.0
2021,47,Need State 4,415181.25
2021,48,Need State 4,398274.75
2021,49,Need State 4,428171.25
2021,50,Need State 4,438303.0
2021,51,Need State 4,506939.25
2021,52,Need State 4,299879.25
2021,1,Need State 5,15795.0
2021,2,Need State 5,11154.75
2021,3,Need State 5,10549.5
2021,4,Need State 5,10443.0
2021,5,Need State 5,12430.5
2021,6,Need State 5,12349.5
2021,7,Need State 5,19611.75
2021,8,Need State 5,14553.75
2021,9,Need State 5,18550.5
2021,10,Need State 5,40655.25
2021,11,Need State 5,37981.5
2021,12,Need State 5,71428.5
2021,13,Need State 5,100258.5
2021,14,Need State 5,134664.75
2021,15,Need State 5,357144.75
2021,16,Need State 5,191838.0
2021,17,Need State 5,237999.75
2021,18,Need State 5,139817.25
2021,19,Need State 5,312561.0
2021,20,Need State 5,518168.25
2021,21,Need State 5,513900.75
2021,22,Need State 5,394731.75
2021,23,Need State 5,550308.75
2021,24,Need State 5,285318.75
2021,25,Need State 5,431457.0
2021,26,Need State 5,423452.25
2021,27,Need State 5,359622.0
2021,28,Need State 5,221511.0
2021,29,Need State 5,185678.25
2021,30,Need State 5,114351.75
2021,31,Need State 5,162773.25
2021,32,Need State 5,101369.25
2021,33,Need State 5,115697.25
2021,34,Need State 5,90660.75
2021,35,Need State 5,60320.25
2021,36,Need State 5,54356.25
2021,37,Need State 5,28747.5
2021,38,Need State 5,26284.5
2021,39,Need State 5,21485.25
2021,40,Need State 5,17242.5
2021,41,Need State 5,16965.0
2021,42,Need State 5,16812.0
2021,43,Need State 5,17764.5
2021,44,Need State 5,19355.25
2021,45,Need State 5,20537.25
2021,46,Need State 5,16779.0
2021,47,Need State 5,18098.25
2021,48,Need State 5,18330.75
2021,49,Need State 5,20747.25
2021,50,Need State 5,24914.25
