Year,Week,Need State,Amount,,,
2021,1,Need State 4,373678.5,,,
2021,2,Need State 4,597628.5,,,
2021,3,Need State 4,300238.5,,,
2021,4,Need State 4,319001.25,,,
2021,5,Need State 4,433508.25,,,
2021,6,Need State 4,640492.5,,,
2021,7,Need State 4,448128,,,
2021,8,Need State 4,412890,,,
2021,9,Need State 4,331031.25,,,
2021,10,Need State 4,461514.75,,,
2021,11,Need State 4,388106.25,,,
2021,12,Need State 4,476425.5,,,
2021,13,Need State 4,488613.75,,,
2021,14,Need State 4,475796.25,,,
2021,15,Need State 4,357441.75,,,
2021,16,Need State 4,518808,,,
2021,17,Need State 4,343884,,,
2021,18,Need State 4,460024.5,,,
2021,19,Need State 4,368431.5,,,
2021,20,Need State 4,186488.25,,,
2021,21,Need State 4,295438.5,,,
2021,22,Need State 4,341385.75,,,
2021,23,Need State 4,536329.5,,,
2021,24,Need State 4,491120.25,,,
2021,25,Need State 4,366459.75,,,
2021,26,Need State 4,477507,,,
2021,27,Need State 4,272110.5,,,
2021,28,Need State 4,349866,,,
2021,29,Need State 4,451622.25,,,
2021,30,Need State 4,309791.25,,,
2021,31,Need State 4,629710.5,,,
2021,32,Need State 4,742052.25,,,
2021,33,Need State 4,715980.75,,,
2021,34,Need State 4,336958.5,,,
2021,35,Need State 4,249434.25,,,
2021,36,Need State 4,329004,,,
2021,37,Need State 4,459801.75,,,
2021,38,Need State 4,444409.5,,,
2021,39,Need State 4,545457.75,,,
2021,40,Need State 4,414002.25,,,
2021,41,Need State 4,835918.5,,,
2021,42,Need State 4,285377.25,,,
2021,43,Need State 4,263670,,,
2021,44,Need State 4,396127.5,,,
2021,45,Need State 4,362800.5,,,
2021,46,Need State 4,322544.25,,,
2021,47,Need State 4,525870.75,,,
2021,48,Need State 4,446012.25,,,
2021,49,Need State 4,370164.75,,,
2021,50,Need State 4,302901.75,,,
2021,51,Need State 4,790806.75,,,
2021,52,Need State 4,225032.25,,,
2022,1,Need State 4,231120.75,,,
2022,2,Need State 4,638800.5,,,
2022,3,Need State 4,573999,,,
2022,4,Need State 4,300548.25,,,
2022,5,Need State 4,455489.25,,,
2022,6,Need State 4,436341,,,
2022,7,Need State 4,448062.75,,,
2022,8,Need State 4,193704,,,
2022,9,Need State 4,408852.75,,,
2022,10,Need State 4,477458.25,,,
2022,11,Need State 4,236302.5,,,
2022,12,Need State 4,419783.25,,,
2022,13,Need State 4,377538.75,,,
2022,14,Need State 4,213425.25,,,
2022,15,Need State 4,290613.75,,,
2022,16,Need State 4,286107.75,,,
2022,17,Need State 4,458959.5,,,
2022,18,Need State 4,440440.5,,,
2022,19,Need State 4,570684,,,
2022,20,Need State 4,354081,,,
2022,21,Need State 4,330423.75,,,
2022,22,Need State 4,280140,,,
2022,23,Need State 4,336489.75,,,
2022,24,Need State 4,447780.75,,,
2022,25,Need State 4,539620.5,,,
2022,26,Need State 4,317520.75,,,
2022,27,Need State 4,279173.25,,,
2022,28,Need State 4,456045,,,
2022,29,Need State 4,697983,,,
2022,30,Need State 4,476877.75,,,
2022,31,Need State 4,212052,,,
2022,32,Need State 4,294522,,,
2022,33,Need State 4,682317.75,,,
2022,34,Need State 4,434454.75,,,
2022,35,Need State 4,314837.25,,,
2022,36,Need State 4,426658.5,,,
2022,37,Need State 4,720237,,,
2022,38,Need State 4,469861.5,,,
2022,39,Need State 4,372435.75,,,
2022,40,Need State 4,494211,,,
2022,41,Need State 4,333120.75,,,
2022,42,Need State 4,677653.5,,,
2022,43,Need State 4,450099,,,
2022,44,Need State 4,432845.25,,,
2022,45,Need State 4,504084.75,,,
2022,46,Need State 4,328572,,,
2022,47,Need State 4,643941,,,
2022,48,Need State 4,470153.25,,,
2022,49,Need State 4,252555,,,
2022,50,Need State 4,507743.25,,,
2022,51,Need State 4,481603.5,,,
2022,52,Need State 4,347997,,,
2023,1,Need State 4,317171.25,,,
2023,2,Need State 4,275616,,,
2023,3,Need State 4,759098.25,,,
2023,4,Need State 4,354993,,,
2023,5,Need State 4,405148.5,,,
2023,6,Need State 4,499875,,,
2023,7,Need State 4,417354.75,,,
2023,8,Need State 4,266517.75,,,
2023,9,Need State 4,347949.75,,,
2023,10,Need State 4,399438,,,
2023,11,Need State 4,335752.5,,,
2023,12,Need State 4,453015.75,,,
2023,13,Need State 4,466305,,,
2023,14,Need State 4,285252.75,,,
2023,15,Need State 4,421256.25,,,
2023,16,Need State 4,367767.75,,,
2023,17,Need State 4,368679.75,,,
2023,18,Need State 4,413159.25,,,
2023,19,Need State 4,458248.5,,,
2023,20,Need State 4,291272.25,,,
2023,21,Need State 4,364135.5,,,
2023,22,Need State 4,386433.75,,,
2023,23,Need State 4,553309.5,,,
2023,24,Need State 4,288504,,,
2023,25,Need State 4,423143.25,,,
2023,26,Need State 4,365324.25,,,
2023,27,Need State 4,278976,,,
2023,28,Need State 4,452683.5,,,
2023,29,Need State 4,458682,,,
2023,30,Need State 4,445416.75,,,
2023,31,Need State 4,556152.75,,,
2023,32,Need State 4,289188.75,,,
2023,33,Need State 4,464343,,,
2023,34,Need State 4,644532.75,,,
2023,35,Need State 4,552603,,,
2023,36,Need State 4,212412.75,,,
2023,37,Need State 4,438662.25,,,
2023,38,Need State 4,432406.5,,,
2023,39,Need State 4,460226.25,,,
2023,40,Need State 4,359041.5,,,
2023,41,Need State 4,240855.75,,,
2023,42,Need State 4,529374.75,,,
2023,43,Need State 4,22635,,,
2023,46,Need State 4,0,,,
2023,50,Need State 4,0,,,
