Year,Week,Need State,Dc Amount,Store Amt On Hand,Date
2021,1,Need State 1,1445929.5,3667244.25,2021-01-04
2021,1,Need State 2,2405549.25,2784957.75,2021-01-04
2021,1,Need State 3,1618319.25,3838764.0,2021-01-04
2021,1,Need State 4,1271980.5,1893348.0,2021-01-04
2021,1,Need State 5,601577.25,1055337.75,2021-01-04
2021,1,Need State 6,1708055.25,2678521.5,2021-01-04
2021,2,Need State 1,1615275.0,3622755.0,2021-01-11
2021,2,Need State 2,2256024.75,2885244.0,2021-01-11
2021,2,Need State 3,1780801.5,3921396.0,2021-01-11
2021,2,Need State 4,1625886.75,1880787.75,2021-01-11
2021,2,Need State 5,601776.75,1049389.5,2021-01-11
2021,2,Need State 6,2044693.5,2697240.0,2021-01-11
2021,3,Need State 1,1389862.5,3573918.75,2021-01-18
2021,3,Need State 2,2183392.5,2834505.0,2021-01-18
2021,3,Need State 3,1665248.25,3816876.75,2021-01-18
2021,3,Need State 4,1413519.0,1885237.5,2021-01-18
2021,3,Need State 5,670983.0,1050538.5,2021-01-18
2021,3,Need State 6,1730494.5,2782791.75,2021-01-18
2021,4,Need State 1,1111251.0,3528955.5,2021-01-25
2021,4,Need State 2,2095967.25,2806603.5,2021-01-25
2021,4,Need State 3,1928427.0,3752643.75,2021-01-25
2021,4,Need State 4,1116680.25,1901020.5,2021-01-25
2021,4,Need State 5,624003.0,1042530.0,2021-01-25
2021,4,Need State 6,1720944.0,2761587.75,2021-01-25
2021,5,Need State 1,1040040.75,3538705.5,2021-02-01
2021,5,Need State 2,2057765.25,2907480.75,2021-02-01
2021,5,Need State 3,2176682.25,3815256.0,2021-02-01
2021,5,Need State 4,1160288.25,1926643.5,2021-02-01
2021,5,Need State 5,602572.5,1041183.75,2021-02-01
2021,5,Need State 6,1670751.0,2876609.25,2021-02-01
2021,6,Need State 1,1281405.0,3591575.25,2021-02-08
2021,6,Need State 2,1956306.0,2807937.75,2021-02-08
2021,6,Need State 3,1809162.75,3892614.0,2021-02-08
2021,6,Need State 4,1132392.0,1824061.5,2021-02-08
2021,6,Need State 5,588169.5,1036358.25,2021-02-08
2021,6,Need State 6,1604854.5,2802006.75,2021-02-08
2021,7,Need State 1,1516268.25,3553807.5,2021-02-15
2021,7,Need State 2,1975357.5,2782643.25,2021-02-15
2021,7,Need State 3,1624469.25,3899664.75,2021-02-15
2021,7,Need State 4,1035630.0,1908308.25,2021-02-15
2021,7,Need State 5,706590.0,1037391.0,2021-02-15
2021,7,Need State 6,1789930.5,2801581.5,2021-02-15
2021,8,Need State 1,1982263.5,3485017.5,2021-02-22
2021,8,Need State 2,1883883.0,2722957.5,2021-02-22
2021,8,Need State 3,1660566.75,3981648.75,2021-02-22
2021,8,Need State 4,1157476.5,1891306.5,2021-02-22
2021,8,Need State 5,859293.75,1026291.0,2021-02-22
2021,8,Need State 6,1838221.5,2752755.75,2021-02-22
2021,9,Need State 1,2972025.75,3438627.75,2021-03-01
2021,9,Need State 2,1716895.5,2775000.0,2021-03-01
2021,9,Need State 3,1558020.0,4303237.5,2021-03-01
2021,9,Need State 4,1084067.25,2020867.5,2021-03-01
2021,9,Need State 5,646471.5,1039451.25,2021-03-01
2021,9,Need State 6,1663448.25,2758235.25,2021-03-01
2021,10,Need State 1,3278752.5,3430857.0,2021-03-08
2021,10,Need State 2,1609705.5,2792142.75,2021-03-08
2021,10,Need State 3,1596435.75,4378400.25,2021-03-08
2021,10,Need State 4,1027109.25,1942113.75,2021-03-08
2021,10,Need State 5,949260.0,1180793.25,2021-03-08
2021,10,Need State 6,1460872.5,2725902.0,2021-03-08
2021,11,Need State 1,2863174.5,3518499.0,2021-03-15
2021,11,Need State 2,1558604.25,2819067.0,2021-03-15
2021,11,Need State 3,1510045.5,4256257.5,2021-03-15
2021,11,Need State 4,991081.5,2029211.25,2021-03-15
2021,11,Need State 5,1119555.0,1426484.25,2021-03-15
2021,11,Need State 6,1290471.75,2750638.5,2021-03-15
2021,12,Need State 1,3563919.0,3594399.75,2021-03-22
2021,12,Need State 2,1541204.25,2773255.5,2021-03-22
2021,12,Need State 3,1526031.0,4255254.75,2021-03-22
2021,12,Need State 4,1170124.5,1970055.0,2021-03-22
2021,12,Need State 5,621969.75,1440278.25,2021-03-22
2021,12,Need State 6,1349546.25,2640159.75,2021-03-22
2021,13,Need State 1,4798523.25,5535069.0,2021-03-29
2021,13,Need State 2,1620745.5,2756580.75,2021-03-29
2021,13,Need State 3,1521311.25,4215314.25,2021-03-29
2021,13,Need State 4,1090771.5,2062767.0,2021-03-29
2021,13,Need State 5,1147593.75,2117340.75,2021-03-29
2021,13,Need State 6,1788789.75,2740664.25,2021-03-29
2021,14,Need State 1,4489884.75,5355290.25,2021-04-05
2021,14,Need State 2,1702234.5,2634107.25,2021-04-05
2021,14,Need State 3,1799645.25,4080860.25,2021-04-05
2021,14,Need State 4,1130388.75,1922370.0,2021-04-05
2021,14,Need State 5,1384758.75,2920119.0,2021-04-05
2021,14,Need State 6,1537236.75,2673381.0,2021-04-05
2021,15,Need State 1,4716588.75,5397090.0,2021-04-12
2021,15,Need State 2,1548697.5,2652678.75,2021-04-12
2021,15,Need State 3,1619382.75,4038381.0,2021-04-12
2021,15,Need State 4,1009769.25,1968021.75,2021-04-12
2021,15,Need State 5,1538060.25,3106954.5,2021-04-12
2021,15,Need State 6,1681434.0,2840211.75,2021-04-12
2021,16,Need State 1,4819831.5,5164899.0,2021-04-19
2021,16,Need State 2,1391682.0,2637725.25,2021-04-19
2021,16,Need State 3,1660808.25,4025804.25,2021-04-19
2021,16,Need State 4,1048158.0,1994679.0,2021-04-19
2021,16,Need State 5,1767557.25,2933437.5,2021-04-19
2021,16,Need State 6,1744170.0,2925371.25,2021-04-19
2021,17,Need State 1,4738584.0,5607678.0,2021-04-26
2021,17,Need State 2,1275079.5,2596359.0,2021-04-26
2021,17,Need State 3,1560168.75,4114212.75,2021-04-26
2021,17,Need State 4,1045552.5,1839399.75,2021-04-26
2021,17,Need State 5,1871906.25,2954375.25,2021-04-26
2021,17,Need State 6,1576297.5,3272585.25,2021-04-26
2021,18,Need State 1,4768413.75,5416505.25,2021-05-03
2021,18,Need State 2,1146483.75,2548607.25,2021-05-03
2021,18,Need State 3,1455246.0,3989791.5,2021-05-03
2021,18,Need State 4,1046663.25,1922343.0,2021-05-03
2021,18,Need State 5,2165765.25,2860964.25,2021-05-03
2021,18,Need State 6,1479793.5,3137842.5,2021-05-03
2021,19,Need State 1,4185400.5,5377881.0,2021-05-10
2021,19,Need State 2,1050811.5,2477178.75,2021-05-10
2021,19,Need State 3,1371755.25,3961887.75,2021-05-10
2021,19,Need State 4,975624.0,1894047.75,2021-05-10
2021,19,Need State 5,2000991.0,2879776.5,2021-05-10
2021,19,Need State 6,1363840.5,3079540.5,2021-05-10
2021,20,Need State 1,3583250.25,5136009.0,2021-05-17
2021,20,Need State 2,868528.5,2407791.0,2021-05-17
2021,20,Need State 3,1223383.5,3960268.5,2021-05-17
2021,20,Need State 4,955018.5,1817964.75,2021-05-17
2021,20,Need State 5,1685070.0,2803767.0,2021-05-17
2021,20,Need State 6,1499818.5,3003623.25,2021-05-17
2021,21,Need State 1,4222021.5,5352915.75,2021-05-24
2021,21,Need State 2,967109.25,2363865.0,2021-05-24
2021,21,Need State 3,1291726.5,3856012.5,2021-05-24
2021,21,Need State 4,737964.75,1900607.25,2021-05-24
2021,21,Need State 5,1376120.25,2744557.5,2021-05-24
2021,21,Need State 6,1743870.75,2911711.5,2021-05-24
2021,22,Need State 1,3720159.75,5118456.75,2021-05-31
2021,22,Need State 2,947630.25,2310818.25,2021-05-31
2021,22,Need State 3,1263054.75,3811452.0,2021-05-31
2021,22,Need State 4,668391.0,1806172.5,2021-05-31
2021,22,Need State 5,1171755.0,2728202.25,2021-05-31
2021,22,Need State 6,1767940.5,2751394.5,2021-05-31
2021,23,Need State 1,3057247.5,4931239.5,2021-06-07
2021,23,Need State 2,1008118.5,2371276.5,2021-06-07
2021,23,Need State 3,1341347.25,3720621.0,2021-06-07
2021,23,Need State 4,718674.0,1791743.25,2021-06-07
