Year,Week,Need State,Amount
2021,1,Need State 1,5552
2021,2,Need State 1,18939
2021,3,Need State 1,11346
2021,4,Need State 1,4801
2021,5,Need State 1,17470
2021,6,Need State 1,17691
2021,7,Need State 1,14269
2021,8,Need State 1,9444
2021,9,Need State 1,18934
2021,10,Need State 1,2801
2021,11,Need State 1,19615
2021,12,Need State 1,16911
2021,13,Need State 1,18526
2021,14,Need State 1,14089
2021,15,Need State 1,15228
2021,16,Need State 1,4908
2021,17,Need State 1,4569
2021,18,Need State 1,18710
2021,19,Need State 1,14480
2021,20,Need State 1,2993
2021,21,Need State 1,828
2021,22,Need State 1,946
2021,23,Need State 1,17402
2021,24,Need State 1,3641
2021,25,Need State 1,18118
2021,26,Need State 1,17749
2021,27,Need State 1,14498
2021,28,Need State 1,17004
2021,29,Need State 1,12332
2021,30,Need State 1,1177
2021,31,Need State 1,8009
2021,32,Need State 1,1338
2021,33,Need State 1,2992
2021,34,Need State 1,1455
2021,35,Need State 1,14141
2021,36,Need State 1,13292
2021,37,Need State 1,16466
2021,38,Need State 1,8460
2021,39,Need State 1,18974
2021,40,Need State 1,19007
2021,41,Need State 1,17150
2021,42,Need State 1,3371
2021,43,Need State 1,13524
2021,44,Need State 1,15114
2021,45,Need State 1,14545
2021,46,Need State 1,5323
2021,47,Need State 1,13036
2021,48,Need State 1,12585
2021,49,Need State 1,19408
2021,50,Need State 1,11819
2021,51,Need State 1,6800
2021,52,Need State 1,7192
2022,1,Need State 1,18049
2022,2,Need State 1,8583
2022,3,Need State 1,11338
2022,4,Need State 1,6009
2022,5,Need State 1,13106
2022,6,Need State 1,8368
2022,7,Need State 1,4021
2022,8,Need State 1,18796
2022,9,Need State 1,3272
2022,10,Need State 1,15398
2022,11,Need State 1,1830
2022,12,Need State 1,12295
2022,13,Need State 1,2568
2022,14,Need State 1,10826
2022,15,Need State 1,4940
2022,16,Need State 1,18962
2022,17,Need State 1,19003
2022,18,Need State 1,7223
2022,19,Need State 1,2256
2022,20,Need State 1,18024
2022,21,Need State 1,19173
2022,22,Need State 1,9073
2022,23,Need State 1,7434
2022,24,Need State 1,3066
2022,25,Need State 1,2577
2022,26,Need State 1,11130
2022,27,Need State 1,4798
2022,28,Need State 1,12298
2022,29,Need State 1,19559
2022,30,Need State 1,17633
2022,31,Need State 1,15301
2022,32,Need State 1,5708
2022,33,Need State 1,18150
2022,34,Need State 1,3409
2022,35,Need State 1,6585
