,Date,Year,Week,Amount_Factory_POS,Amount_Total_Ecomm_POS
0,2021-01-04,2021,1,355992.75,11279.25
1,2021-01-11,2021,2,432966.0,9659.25
2,2021-01-18,2021,3,325530.0,11369.25
3,2021-01-25,2021,4,409405.5,8376.0
4,2021-02-01,2021,5,313095.75,9748.5
5,2021-02-08,2021,6,402543.75,7694.25
6,2021-02-15,2021,7,288683.25,12636.0
7,2021-02-22,2021,8,522767.25,8955.0
8,2021-03-01,2021,9,327960.0,8427.75
9,2021-03-08,2021,10,429768.0,9404.25
10,2021-03-15,2021,11,333696.0,9249.0
11,2021-03-22,2021,12,425903.25,7868.25
12,2021-03-29,2021,13,313379.25,10521.0
13,2021-04-05,2021,14,467704.5,12336.75
14,2021-04-12,2021,15,350557.5,11125.5
15,2021-04-19,2021,16,410649.0,11022.75
16,2021-04-26,2021,17,338541.0,12348.75
17,2021-05-03,2021,18,502823.25,9120.0
18,2021-05-10,2021,19,314199.0,13093.5
19,2021-05-17,2021,20,440163.0,10692.0
20,2021-05-24,2021,21,329523.0,10530.0
21,2021-05-31,2021,22,462633.0,8646.75
22,2021-06-07,2021,23,317057.25,9419.25
23,2021-06-14,2021,24,486275.25,6986.25
24,2021-06-21,2021,25,301119.0,8842.5
25,2021-06-28,2021,26,487630.5,7251.75
26,2021-07-05,2021,27,337101.0,7355.25
27,2021-07-12,2021,28,444928.5,5880.0
28,2021-07-19,2021,29,313857.75,7737.75
29,2021-07-26,2021,30,500107.5,5929.5
30,2021-08-02,2021,31,313391.25,5922.75
31,2021-08-09,2021,32,389408.25,7146.75
32,2021-08-16,2021,33,340911.75,6741.0
33,2021-08-23,2021,34,461373.0,6010.5
34,2021-08-30,2021,35,319853.25,8017.5
35,2021-09-06,2021,36,472932.0,5499.0
36,2021-09-13,2021,37,293533.5,7940.25
37,2021-09-20,2021,38,402376.5,6592.5
38,2021-09-27,2021,39,306233.25,6909.0
39,2021-10-04,2021,40,386547.0,6232.5
40,2021-10-11,2021,41,326609.25,6338.25
41,2021-10-18,2021,42,383744.25,4853.25
42,2021-10-25,2021,43,255436.5,6712.5
43,2021-11-01,2021,44,358208.25,5549.25
44,2021-11-08,2021,45,266328.75,6735.75
45,2021-11-15,2021,46,333616.5,7647.0
46,2021-11-22,2021,47,287940.0,13239.0
47,2021-11-29,2021,48,407856.0,5052.75
48,2021-12-06,2021,49,246740.25,5668.5
49,2021-12-13,2021,50,364957.5,6709.5
50,2021-12-20,2021,51,383296.5,6012.0
51,2021-12-27,2021,52,249810.75,6521.25
52,2022-01-03,2022,1,298375.5,7750.5
53,2022-01-10,2022,2,324578.25,6705.0
54,2022-01-17,2022,3,275375.25,8472.0
55,2022-01-24,2022,4,348705.0,8309.25
56,2022-01-31,2022,5,315834.0,5844.75
57,2022-02-07,2022,6,337423.5,5243.25
58,2022-02-14,2022,7,285927.75,7948.5
59,2022-02-21,2022,8,392266.5,4886.25
60,2022-02-28,2022,9,322031.25,5438.25
61,2022-03-07,2022,10,343164.0,4990.5
62,2022-03-14,2022,11,299349.0,7619.25
63,2022-03-21,2022,12,341650.5,4386.0
64,2022-03-28,2022,13,275298.0,6857.25
65,2022-04-04,2022,14,371924.25,5988.0
66,2022-04-11,2022,15,298653.0,4491.75
67,2022-04-18,2022,16,317124.75,7133.25
68,2022-04-25,2022,17,317007.75,4959.75
69,2022-05-02,2022,18,360345.75,5751.75
70,2022-05-09,2022,19,285820.5,5200.5
71,2022-05-16,2022,20,335220.0,6698.25
72,2022-05-23,2022,21,323421.0,5193.75
73,2022-05-30,2022,22,365874.75,6801.75
74,2022-06-06,2022,23,324720.75,5866.5
75,2022-06-13,2022,24,405487.5,7352.25
76,2022-06-20,2022,25,356679.75,5948.25
77,2022-06-27,2022,26,421110.0,7233.0
78,2022-07-04,2022,27,376256.25,6956.25
79,2022-07-11,2022,28,414412.5,6462.0
80,2022-07-18,2022,29,353679.75,5979.0
81,2022-07-25,2022,30,436925.25,5761.5
82,2022-08-01,2022,31,359648.25,5908.5
83,2022-08-08,2022,32,391567.5,7677.75
84,2022-08-15,2022,33,367183.5,5808.0
85,2022-08-22,2022,34,415620.75,5187.0
86,2022-08-29,2022,35,335940.0,6813.75
87,2022-09-05,2022,36,427062.75,5092.5
88,2022-09-12,2022,37,324510.0,5372.25
89,2022-09-19,2022,38,315984.75,6168.75
90,2022-09-26,2022,39,307959.0,7268.25
91,2022-10-03,2022,40,397505.25,5062.5
92,2022-10-10,2022,41,302183.25,6167.25
93,2022-10-17,2022,42,375518.25,6195.0
94,2022-10-24,2022,43,288664.5,5993.25
95,2022-10-31,2022,44,346174.5,4446.75
96,2022-11-07,2022,45,287500.5,7068.75
97,2022-11-14,2022,46,333471.75,5205.0
98,2022-11-21,2022,47,301569.75,12023.25
99,2022-11-28,2022,48,405353.25,11451.0
100,2022-12-05,2022,49,313395.0,7677.75
101,2022-12-12,2022,50,405828.75,4029.0
102,2022-12-19,2022,51,382609.5,9322.5
103,2022-12-26,2022,52,364111.5,6521.25
104,2023-01-02,2023,1,306138.0,8040.0
105,2023-01-09,2023,2,419254.5,5007.75
106,2023-01-16,2023,3,301220.25,5653.5
107,2023-01-23,2023,4,351375.75,6666.75
108,2023-01-30,2023,5,324630.0,6546.75
109,2023-02-06,2023,6,361350.0,5243.25
110,2023-02-13,2023,7,327872.25,7605.75
111,2023-02-20,2023,8,370796.25,5856.0
112,2023-02-27,2023,9,309635.25,7410.0
113,2023-03-06,2023,10,367994.25,5521.5
114,2023-03-13,2023,11,285425.25,7584.75
115,2023-03-20,2023,12,331062.75,5775.75
116,2023-03-27,2023,13,293667.75,4848.0
117,2023-04-03,2023,14,304743.0,4256.25
118,2023-04-10,2023,15,243654.75,8676.75
